ID,CSV,HEIGHTMAP
10,bumps1_training_10.csv,bumps1.png
11,bumps1_training_11.csv,bumps1.png
12,bumps1_training_12.csv,bumps1.png
13,bumps1_training_13.csv,bumps1.png
14,bumps1_training_14.csv,bumps1.png
15,bumps1_training_15.csv,bumps1.png
16,bumps1_training_16.csv,bumps1.png
17,bumps1_training_17.csv,bumps1.png
18,bumps1_training_18.csv,bumps1.png
19,bumps1_training_19.csv,bumps1.png
20,bumps1_training_20.csv,bumps1.png
21,bumps1_training_21.csv,bumps1.png
22,bumps1_training_22.csv,bumps1.png
23,bumps1_training_23.csv,bumps1.png
24,bumps1_training_24.csv,bumps1.png
25,bumps1_training_25.csv,bumps1.png
26,bumps1_training_26.csv,bumps1.png
27,bumps1_training_27.csv,bumps1.png
28,bumps1_training_28.csv,bumps1.png
29,bumps1_training_29.csv,bumps1.png
30,bumps1_training_30.csv,bumps1.png
31,bumps1_training_31.csv,bumps1.png
32,bumps1_training_32.csv,bumps1.png
33,bumps1_training_33.csv,bumps1.png
34,bumps1_training_34.csv,bumps1.png
35,bumps1_training_35.csv,bumps1.png
36,bumps1_training_36.csv,bumps1.png
37,bumps1_training_37.csv,bumps1.png
38,bumps1_training_38.csv,bumps1.png
39,bumps1_training_39.csv,bumps1.png
40,bumps1_training_40.csv,bumps1.png
41,bumps1_training_41.csv,bumps1.png
42,bumps1_training_42.csv,bumps1.png
43,bumps1_training_43.csv,bumps1.png
44,bumps1_training_44.csv,bumps1.png
46,bumps1_training_46.csv,bumps1.png
47,bumps1_training_47.csv,bumps1.png
48,bumps1_training_48.csv,bumps1.png
49,bumps1_training_49.csv,bumps1.png
60,bumps2_training_10.csv,bumps2.png
61,bumps2_training_11.csv,bumps2.png
62,bumps2_training_12.csv,bumps2.png
64,bumps2_training_14.csv,bumps2.png
66,bumps2_training_16.csv,bumps2.png
67,bumps2_training_17.csv,bumps2.png
68,bumps2_training_18.csv,bumps2.png
69,bumps2_training_19.csv,bumps2.png
70,bumps2_training_20.csv,bumps2.png
72,bumps2_training_22.csv,bumps2.png
73,bumps2_training_23.csv,bumps2.png
74,bumps2_training_24.csv,bumps2.png
75,bumps2_training_25.csv,bumps2.png
76,bumps2_training_26.csv,bumps2.png
77,bumps2_training_27.csv,bumps2.png
78,bumps2_training_28.csv,bumps2.png
79,bumps2_training_29.csv,bumps2.png
80,bumps2_training_30.csv,bumps2.png
81,bumps2_training_31.csv,bumps2.png
